OriginalExplanation,TurkishExplanation,Description,OID,Unit,ValueType,Min,Maks,DeviceModelID,CollectorUpdate
?,?,,1.3.6.1.2.1.33.1.9.9.0,,2,,,,
?,?,,1.3.6.1.2.1.33.1.9.10.0,,2,,,,
?,?,,1.3.6.1.2.1.33.13.1.0,,2,,,,
?,?,,1.3.6.1.2.1.33.13.2.0,,2,,,,
?,?,,1.3.6.1.2.1.33.13.3.0,,2,,,,
?,?,,1.3.6.1.2.1.33.13.4.0,,2,,,,
?,?,,1.3.6.1.2.1.33.13.5.0,,2,,,,
?,?,,1.3.6.1.2.1.33.13.6.0,,2,,,,
?,?,,1.3.6.1.2.1.33.13.7.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.1.1.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.1.2.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.1.3.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.1.4.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.1.5.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.1.6.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.1.7.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.2.1.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.2.2.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.2.3.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.2.4.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.2.5.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.2.6.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.2.7.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.3.1.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.3.2.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.3.3.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.3.4.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.3.5.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.3.6.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.3.7.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.3.8.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.3.9.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.3.10.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.3.11.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.3.12.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.3.13.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.3.14.0,,2,,,,
